X1,SessionID,Series,Target_Competitor,Role,Soundfile,Modifier,Transcription,SpeechFluency,Adjective,RelevantMod,Onset,Comments,ShiftDir,Fluency,Misspec
423,13,30,spade_garden / spade_beach,Test,T_30.wav,0,ehhhm spade (WO?) ehm garden spade,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
424,13,31,key_gold / key_car,Test,T_31.wav,0,ehm key (WO?) eh key for the .. Getting into the house not a car,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
425,13,32,door_handle / door_knob,Test,T_32.wav,0,"ehm handle, door handle (WO?) with the larger knda rectangular knob compared to the circular",RE,AO,,NA,,Singleton_Contrast,Low,TRUE
426,13,33,bell_hand / bell_bike,Test,T_33.wav,0,"eh a bell (WO?) bronze bell, with quite a wide eh diameter ehm bronze goldy kind of",RE,AO,,NA,,Singleton_Contrast,Low,TRUE
427,13,37,clock_wall / clock_digital,Test,T_37.wav,1,eh analoge clock,FP,PR,PR,1960,,Contrast_Singleton,Low,TRUE
428,13,38,hat_sun / hat_cowboy,Test,T_38.wav,1,eh yellow summery female hat,FP,PR,PR,1776,,Contrast_Singleton,Low,TRUE
429,13,39,pen_ballpoint / pen_nolid,Test,T_39.wav,1,eh blue pen with a lid on,FP,PO,PO,2125,,Contrast_Singleton,Low,TRUE
430,13,40,apple_red / apple_green,Test,T_40.wav,1,ehh red apple,FP,PR,PR,1731,,Contrast_Singleton,Low,TRUE
431,13,41,pipe_smoke / pipe_kitchen,Test,T_41.wav,1,uh pipe with the brown end,FP,PO,PO,1907,,Contrast_Singleton,Low,TRUE
432,13,43,horse_animal / horse_rocking,Test,T_43.wav,1,ehh the real life horse.. Blimey (or something to that effect),FP,PR,PR,2490,no idea where this starts,Contrast_Singleton,Low,TRUE
433,13,44,tshirt_round / tshirt_vneck,Test,T_44.wav,1,and again yellow tshirt but mens (says 'eye' first so might be off back of last trial),FL,PR,PR,NA,,Contrast_Singleton,Low,TRUE
434,13,46,eye_pupil / I_letter,Test,T_46.wav,1,ehh pupil in eye,FP,PR,PR,1718,,Contrast_Singleton,Low,TRUE
435,13,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,1,ehh brown skinned potatoes,FP,PR,PR,2692,,Contrast_Singleton,Low,TRUE
436,14,2,bin_lid / bin_pedal,Test,T_02.wav,1,the black bin which is square,FL,PO,PO,1294,,Singleton_Contrast,Low,FALSE
437,14,4,coffee_cup / coffee_saucer,Test,T_04.wav,0,coffee (WO?) eh the one without the saucer,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
438,14,6,chair_wooden / chair_baby,Test,T_06.wav,1,the wooden chair,FL,PR,PR,1042,,Singleton_Contrast,Low,FALSE
439,14,8,egg_shell / egg_yolk,Test,T_08.wav,0,egg (pause) which isnt fried,RE,AS,,NA,,Singleton_Contrast,Low,TRUE
440,14,9,umbrella_open / umbrella_closed,Test,T_09.wav,0,red umbrella (WO?) the one which is unfurled,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
441,14,10,candle_unused / candle_melted,Test,T_10.wav,0,the candle by itself (WO?) the one which isnt burnt,RE,AO,,NA,,Singleton_Contrast,Low,TRUE
442,14,11,knife_kitchen / knife_swiss,Test,T_11.wav,0,knife...which isnt a bread knife?,RE,AS,,NA,,Singleton_Contrast,Low,TRUE
443,14,12,car_family / car_sports,Test,T_12.wav,1,(can't make out word) ~something~ silver car which is not as cool,FL,PR,PO,1336,,Singleton_Contrast,Low,FALSE
444,14,14,gun_real / gun_toy,Test,T_14.wav,1,real gun,FL,PR,PR,1167,,Contrast_Singleton,Low,TRUE
445,14,15,saddle_horse / saddle_bike,Test,T_15.wav,1,horse riding saddle,FL,PR,PR,1008,,Contrast_Singleton,Low,TRUE
446,14,16,pad_unlocked / pad_locked,Test,T_16.wav,1,unlocked padlock,FL,PR,PR,797,,Contrast_Singleton,Low,TRUE
447,14,17,headphones_large / headphones_small,Test,T_17.wav,1,the headphones that go over your head,FL,PO,PO,1106,hard to find onset,Contrast_Singleton,Low,TRUE
448,14,19,wine_glass / wine_red,Test,T_19.wav,1,empty wine glass,FL,PR,PR,1590,,Contrast_Singleton,Low,TRUE
449,14,20,money_notes / money_coins,Test,T_20.wav,1,eh notes of money,FP,PR,PR,1764,**,Contrast_Singleton,Low,TRUE
450,14,21,boot_foot / boot_car,Test,T_21.wav,1,doc marten shoe,FL,PR,PR,1066,,Contrast_Singleton,Low,TRUE
451,14,22,camera_corder / camera_cctv,Test,T_22.wav,1,a film camera that is used for filming,FL,PR,PR,1574,,Contrast_Singleton,Low,TRUE
452,14,23,guitar_acoustic / guitar_electric,Test,T_23.wav,1,acoustic guitar,FL,PR,PR,956,,Contrast_Singleton,Low,TRUE
453,14,24,glove_wooly / glove_boxing,Test,T_24.wav,1,thee glove which isnt a boxing glove,FL,PO,PO,1832,,Contrast_Singleton,Low,TRUE
454,14,25,teapot_white / teapot_cosy,Test,T_25.wav,1,white teapot,FL,PR,PR,779,,Singleton_Contrast,High,FALSE
455,14,27,saw_hand / saw_electric,Test,T_27.wav,0,saw for wood (pause) manual,RE,AS,,NA,,Singleton_Contrast,High,TRUE
456,14,29,orange_skin / orange_slice,Test,T_29.wav,0,orange fruit (WO?) the whole one,RE,AO,,NA,,Singleton_Contrast,High,TRUE
457,14,32,door_handle / door_knob,Test,T_32.wav,0,"door handle (WO?) sorry, the one which you push down",RE,AO,,NA,,Singleton_Contrast,High,TRUE
458,14,34,cheese_block / cheese_blue,Test,T_34.wav,0,"trianglular cheese (WO?) the block of triangular cheee, oh the yellow one",RE,AO,,NA,,Singleton_Contrast,High,TRUE
459,14,37,clock_wall / clock_digital,Test,T_37.wav,1,white wall clock,FL,PR,PR,1262,,Contrast_Singleton,High,TRUE
460,14,38,hat_sun / hat_cowboy,Test,T_38.wav,1,ladies hat,FL,PR,PR,843,,Contrast_Singleton,High,TRUE
461,14,39,pen_ballpoint / pen_nolid,Test,T_39.wav,1,pen with a lid on,FL,PO,PO,931,,Contrast_Singleton,High,TRUE
462,14,40,apple_red / apple_green,Test,T_40.wav,1,red apple,FL,PR,PR,959,,Contrast_Singleton,High,TRUE
463,14,41,pipe_smoke / pipe_kitchen,Test,T_41.wav,1,pipe for tobacco,FL,PR,PO,865,,Contrast_Singleton,High,TRUE
464,14,42,bat_animal / bat_baseball,Test,T_42.wav,1,animal bat,FL,PR,PR,796,,Contrast_Singleton,High,TRUE
465,14,43,horse_animal / horse_rocking,Test,T_43.wav,1,the real life horse,FL,PR,PR,850,hard to find onset,Contrast_Singleton,High,TRUE
466,14,44,tshirt_round / tshirt_vneck,Test,T_44.wav,1,male tshirt,FL,PR,PR,764,,Contrast_Singleton,High,TRUE
467,14,46,eye_pupil / I_letter,Test,T_46.wav,1,human eye,FL,PR,PR,814,,Contrast_Singleton,High,TRUE
468,14,47,potatoes_skin / potatoes_peeled,Test,T_47.wav,1,unpeeled potatoes,FL,PR,PR,600,,Contrast_Singleton,High,TRUE
469,15,2,bin_lid / bin_pedal,Test,T_02.wav,1,the uh non pedal bin,FP,PR,PR,3267,,Singleton_Contrast,Low,FALSE
470,15,4,coffee_cup / coffee_saucer,Test,T_04.wav,0,"a cup of coffee, uh the cup of coffee without a saucer",RE,AS,,NA,,Singleton_Contrast,Low,TRUE
471,15,5,mirror_wall / mirror_hand,Test,T_05.wav,0,"the mirror, um the wall mirror",RE,AS,,NA,,Singleton_Contrast,Low,TRUE
472,15,6,chair_wooden / chair_baby,Test,T_06.wav,0,"uh chair, {WO} um the wooden chair",RE,AO,,NA,,Singleton_Contrast,Low,TRUE
473,15,7,lighter_flame / lighter_noflame,Test,T_07.wav,1,"lighter, um with flame***",FP,PO,PO,2022,,Singleton_Contrast,Low,FALSE
474,15,8,egg_shell / egg_yolk,Test,T_08.wav,1,"the um, un cracked egg",FP,PR,PR,5457,,Singleton_Contrast,Low,FALSE
475,15,9,umbrella_open / umbrella_closed,Test,T_09.wav,0,"umbrella, um opened umbrella",RE,AS,,NA,,Singleton_Contrast,Low,TRUE
476,15,10,candle_unused / candle_melted,Test,T_10.wav,1,um the unburned candle,FP,PR,PR,4520,,Singleton_Contrast,Low,FALSE
477,15,11,knife_kitchen / knife_swiss,Test,T_11.wav,1,um the kitchen knife,FP,PR,PR,2577,,Singleton_Contrast,Low,FALSE
478,15,12,car_family / car_sports,Test,T_12.wav,1,the um the non sports car,FP,PR,PR,5044,,Singleton_Contrast,Low,FALSE
