SessionID,Series,Role,Soundfile,Target_Competitor,Modifier,Transcription,Fluency,Adjective,Onset(ms),Comments,X12,X13,X14,X15,X16,X17,X18
1,29,Training,Z_29_09.wav,orange_skin / orange_slice,1,full orange,FL,PR,1144,check if you have time,,,,,,,
1,30,Training,Z_30_09.wav,spade_garden / spade_beach,1,garden spade,FL,PR,1314,,,,,,,,
1,31,Training,Z_31_08.wav,key_gold / key_car,1,house key,FL,PR,934,check if you have time,,,,,,,
1,32,Training,Z_32_09.wav,door_handle / door_knob,1,eh full door handle,FP,PR,1212,,,,,,,,
1,33,Training,Z_33_09.wav,bell_hand / bell_bike,1,hand held bell,FL,PR,1331,,,,,,,,
1,34,Training,Z_34_09.wav,cheese_block / cheese_blue,1,eden white cheese?,FL,PR,1110,,,,,,,,
1,35,Training,Z_35_09.wav,bee_honey / B_letter,1,bumblebee,FL,PR,1270,,,,,,,,
1,36,Training,Z_36_07.wav,phone_office / phone_mobile,1,landline telephone,FL,PR,1055,,,,,,,,
1,37,Training,Z_37_09.wav,clock_wall / clock_digital,0,clock,FL,NO,2307,,,,,,,,
1,38,Training,Z_38_08.wav,hat_sun / hat_cowboy,0,hat,FL,NO,1586,check if you have time,,,,,,,
1,39,Training,Z_39_07.wav,pen_ballpoint / pen_nolid,0,pen,FL,NO,1922,,,,,,,,
1,40,Training,Z_40_09.wav,apple_red / apple_green,1,eh red apple,FP,PR,1204,,,,,,,,
1,41,Training,Z_41_08.wav,pipe_smoke / pipe_kitchen,1,smoking pipe,FL,PR,1702,,,,,,,,
1,42,Training,Z_42_07.wav,bat_animal / bat_baseball,0,bat,FL,NO,1160,,,,,,,,
1,43,Training,Z_43_09.wav,horse_animal / horse_rocking,0,horse,FL,NO,1699,,,,,,,,
1,44,Training,Z_44_07.wav,tshirt_round / tshirt_vneck,0,yellow tshirt,FL,NO,1068,yellow not modifier,,,,,,,
1,45,Training,Z_45_08.wav,glasses_reading / glasses_drinking,0,glasses ,FL,NO,1261,,,,,,,,
1,46,Training,Z_46_08.wav,eye_pupil / I_letter,1,human eye,FL,PR,1530,,,,,,,,
1,47,Training,Z_47_08.wav,potatoes_skin / potatoes_peeled,0,potatoes,FL,NO,1082,,,,,,,,
1,48,Training,Z_48_09.wav,mouse_computer / mouse_animal,1,computer mouse,FL,PR,1705,,,,,,,,
2,1,Test,T_01.wav,spoon_reg / spoon_wooden,1,metalic spoon again,FL,PR,1021,,,,,FL,PR,1025,kieran remember to check for PO'S!!!!
2,2,Test,T_02.wav,bin_lid / bin_pedal,1,plastic bin,FL,PR,1054,,,,,FL,PR,1064,
2,3,Test,T_03.wav,bike_mountain / bike_motor,1,uh bicycle,FP,NO,1264,,,,,FP,NO,1268,
2,4,Test,T_04.wav,coffee_cup / coffee_saucer,1,cup of coffee without a saucer underneath it,FL,PO,1381,onset of cup taken,,,,FL,PO*,1360,*
2,5,Test,T_05.wav,mirror_wall / mirror_hand,1,wall mirror,FL,PR,942,,,,,FL,PR,933,
2,6,Test,T_06.wav,chair_wooden / chair_baby,1,wooden chair,FL,PR,1367,,,,,FL,PR,1367,changed to time closer to C's time
2,7,Test,T_07.wav,lighter_flame / lighter_noflame,1,eh lit lighter,FP,PR,1279,,,,,FP,PR,1284,
2,8,Test,T_08.wav,egg_shell / egg_yolk,0,uuuuuuhhhh egg,FP,NO,2759,,,,,FP,NO,2938,**Caitlyn onset is missed here
2,9,Test,T_09.wav,umbrella_open / umbrella_closed,1,open umbrella,FL,PR,945,,,,,FL,PR,1018,**onset missed here
2,10,Test,T_10.wav,candle_unused / candle_melted,1,unlit candle again,FL,PR,1059,,,,,FL,PR,1047,
2,11,Test,T_11.wav,knife_kitchen / knife_swiss,1,kitchen knife,FL,PR,833,,,,,FL,PR,831,
2,12,Test,T_12.wav,car_family / car_sports,1,uhh the same car…oh it's the only car…car!,RE,DE,3623,check - onset of only taken,,,,FP* should be  RE,DE,4058,**
2,13,Test,T_13.wav,lamp_bedroom / lamp_lava,0,lamp again um eh non lava,RE,AS,3883,onset of 'non lava' taken,,,,FP,AS,3870,changed onset to match caitlyn's
2,14,Test,T_14.wav,gun_real / gun_toy,1,uhh real gun,FP,PR,1666,,,,,FP,PR,1781,**missed the onset of the r in real
2,15,Test,T_15.wav,saddle_horse / saddle_bike,1,ssss uh biii  uhhh horse saddle,LE,PR,3908,,,,,LE/FP,PR,3867,**think your onset is a little too early!
2,16,Test,T_16.wav,pad_unlocked / pad_locked,0,"uhhh padlock, uh unlocked padlock",RE,AS,2956,onset of unlocked noted,,,,,,,
2,17,Test,T_17.wav,headphones_large / headphones_small,0,mmmm headphones {which ones?} like eh headphones as opposed to earphones,RE,AO,5042,CHECK: onset of earphones taken?,,,,,,,
2,18,Test,T_18.wav,battery_AA / battery_car,1,umm  battery the small..um like a AA battery probably,RE,AS,6367,check - onset of AA noted,,,,,,,
2,19,Test,T_19.wav,wine_glass / wine_red,1,uhh empty wine glass,FP,PR,1805,,,,,,,,
2,20,Test,T_20.wav,money_notes / money_coins,0,uuh money..cash money {which one's?} the uhh notes ..,RE,AO,7640,onset of notes taken,,,,,,,
2,21,Test,T_21.wav,boot_foot / boot_car,0,boot {which one?] uhhh oh boot like a shoe that you wear,RE,AO,9103,onset of shoe taken **** should it be boot?,,,,,,,
2,22,Test,T_22.wav,camera_corder / camera_cctv,0,camera {which one?} uhh like a non cctv camera,RE,AO,7933,cctv onset taken,,,,,,,
2,23,Test,T_23.wav,guitar_acoustic / guitar_electric,1,ahhhh acoutsic guitar,FP,PR,2159,,,,,,,,
2,24,Test,T_24.wav,glove_wooly / glove_boxing,0,ahh red glove {WO?} the non boxing glove,RE,AO,7133,onset of boxing,,,,,,,
2,25,Test,T_25.wav,teapot_white / teapot_cosy,0,teapot,FL,NO,1483,,,,,,,,
2,26,Test,T_26.wav,helmet_bike / helmet_builders,1,uuuhh bicycle helmet,FP,PR,2345,,,,,,,,
2,27,Test,T_27.wav,saw_hand / saw_electric,1,(mmm)manual saw (cuts off),FP,PR,1861,,,,,,,,
2,28,Test,T_28.wav,fan_hand / fan_electric,1,ma(aaaa)nual fan,LE,PR,1570,,,,,,,,
2,29,Test,T_29.wav,orange_skin / orange_slice,1,ahh whole orange,FP,PR,1780,,,,,,,,
2,30,Test,T_30.wav,spade_garden / spade_beach,0,uhh shovel,FP,NO,2295,***,,,,,,,
2,31,Test,T_31.wav,key_gold / key_car,1,uhhh door key,FP,PR,2394,,,,,,,,
2,32,Test,T_32.wav,door_handle / door_knob,0,uuuhh door handle,FP,NO,2852,CHECK - PR??,,,,,,,
2,33,Test,T_33.wav,bell_hand / bell_bike,0,uhh bell,FP,NO,2415,,,,,,,,
2,34,Test,T_34.wav,cheese_block / cheese_blue,1,uuuhh swiss cheese??,FP,PR,2619,check,,,,,,,
2,35,Test,T_35.wav,bee_honey / B_letter,1,uuuh bee the insect..bee,RE,DE,3602,onset of 2nd bee taken,,,,,,,
2,36,Test,T_36.wav,phone_office / phone_mobile,1,uhh landline phone,FP,PR,2176,,,,,,,,
2,37,Test,T_37.wav,clock_wall / clock_digital,0,uhh clock {WO?} thee umm analogue clock,RE,AO,8533,onset of anologue,,,,,,,
2,38,Test,T_38.wav,hat_sun / hat_cowboy,1,sun hat,FL,PR,1103,,,,,,,,
2,39,Test,T_39.wav,pen_ballpoint / pen_nolid,0,biro uh  {WO?} uhh without the lid on no with the lid on,RE,AO,4743,onset of 2nd lid,,,,,,,
2,40,Test,T_40.wav,apple_red / apple_green,0,apple..uh red apple,RE,AS,2149,onset of red,,,,,,,
2,41,Test,T_41.wav,pipe_smoke / pipe_kitchen,0,uh pipe uh umm sssmo..smoking tobacco pipe,RE,AS,3843,onset of smoking taken,,,,,,,
2,42,Test,T_42.wav,bat_animal / bat_baseball,0,umm uh a bat like a flying animal bat,RE,AS,3542,onset of flying taken,,,,,,,
2,43,Test,T_43.wav,horse_animal / horse_rocking,0,horse {WO?} oooh real horse,RE,AO,3893,real onset taken,,,,,,,
2,44,Test,T_44.wav,tshirt_round / tshirt_vneck,0,yellow tshirt…yellow male's tshirt,RE,AS,2478,onset of 2nd yellow taken,,,,,,,
2,45,Test,T_45.wav,glasses_reading / glasses_drinking,0,glasses again… pair of ss eye glasses,RE,AS,1929,onset of pair takenn,,,,,,,
2,46,Test,T_46.wav,eye_pupil / I_letter,0,eye {WO?} oh the uh human eye,RE,AO,5008,human onset taken,,,,,,,
2,47,Test,T_47.wav,potatoes_skin / potatoes_peeled,0,pile of potatoes {WO?} oh yeah! Pile of unpeeled potatoes,RE,AO,6076,onset of 2nd pile taken,,,,,,,
2,48,Test,T_48.wav,mouse_computer / mouse_animal,1,computer mouse again,FL,PR,1403,,,,,,,,
2,1,Training,Z_01_09.wav,spoon_reg / spoon_wooden,1,uuum metallic spoon,FP,PR,2012,,,,,,,,
2,2,Training,Z_02_09.wav,bin_lid / bin_pedal,1,plastic bin,FL,PR,1138,,,,,,,,
2,3,Training,Z_03_06.wav,bike_mountain / bike_motor,1,bicycle again,FL,NO,891,**would again be considered a PR??**,,,,,,,
2,4,Training,Z_04_08.wav,coffee_cup / coffee_saucer,1,uuuh cup of coffee wihtout a saucer underneath it,FP,PO,2041,,,,,,,,
2,5,Training,Z_05_09.wav,mirror_wall / mirror_hand,1,wall mirror,FL,PR,957,,,,,,,,
2,6,Training,Z_06_09.wav,chair_wooden / chair_baby,1,wooden chair,FL,PR,1160,sounds  a little uncertain,,,,,,,
2,7,Training,Z_07_09.wav,lighter_flame / lighter_noflame,1,lit lighter again,FL,PR,1065,,,,,,,,
2,8,Training,Z_08_08.wav,egg_shell / egg_yolk,1,(says 'lighter' maybe from previous trial) then whole egg,FL,PR,936,** contains noise from previous trial,,,,,,,
2,9,Training,Z_09_07.wav,umbrella_open / umbrella_closed,1,uuuh open umbrella,FP,PR,1271,,,,,,,,
2,10,Training,Z_10_08.wav,candle_unused / candle_melted,1,uuuuh unlit candle,FP,PR,2525,,,,,,,,
2,11,Training,Z_11_06.wav,knife_kitchen / knife_swiss,1,kitchen knife again,FL,PR,1128,,,,,,,,
2,12,Training,Z_12_09.wav,car_family / car_sports,0,uuuh the car..same car..silver car,RE,AS,4792,onset of silver noted,,,,,,,
2,13,Training,Z_13_09.wav,lamp_bedroom / lamp_lava,0,uuum lamp,FP,NO,1599,,,,,,,,
2,14,Training,Z_14_07.wav,gun_real / gun_toy,0,uhh gun,FP,NO,2085,,,,,,,,
2,15,Training,Z_15_08.wav,saddle_horse / saddle_bike,0,uhh saddle,FP,NO,1297,,,,,,,,
2,16,Training,Z_16_09.wav,pad_unlocked / pad_locked,0,uh padlock,FP,NO,1202,,,,,,,,
2,17,Training,Z_17_07.wav,headphones_large / headphones_small,0,earphones,FL,NO,2054,CHECK,,,,,,,
2,18,Training,Z_18_08.wav,battery_AA / battery_car,0,battery,FL,NO,1202,,,,,,,,
2,19,Training,Z_19_09.wav,wine_glass / wine_red,0,uuuh wine glass,FP,NO,1529,hard to find onset,,,,,,,
2,20,Training,Z_20_09.wav,money_notes / money_coins,0,uh money,FP,NO,2094,as above,,,,,,,
2,21,Training,Z_21_08.wav,boot_foot / boot_car,0,uh boot,FP ,NO,1353,,,,,,,,
2,22,Training,Z_22_07.wav,camera_corder / camera_cctv,0,(coughs) uh camera,FP,NO,2078,,,,,,,,
2,23,Training,Z_23_08.wav,guitar_acoustic / guitar_electric,0,guitar,FL,NO,1047,,,,,,,,
2,24,Training,Z_24_08.wav,glove_wooly / glove_boxing,0,red glove,FL,NO,965,colour not a modifier,,,,,,,
2,25,Training,Z_25_07.wav,teapot_white / teapot_cosy,1,a teapot without a cosy on it,FL,PO,1584,onset of teapot noted,,,,,,,
2,26,Training,Z_26_07.wav,helmet_bike / helmet_builders,1,ummm a bicycle helmet,FP,PR,3771,,,,,,,,
2,27,Training,Z_27_08.wav,saw_hand / saw_electric,1,manual saw,FL,PR,1115,,,,,,,,
2,28,Training,Z_28_08.wav,fan_hand / fan_electric,1,a manual fan,FL,PR,1211,,,,,,,,
2,29,Training,Z_29_08.wav,orange_skin / orange_slice,1,uh whole orange,FP,PR,1615,,,,,,,,
2,30,Training,Z_30_06.wav,spade_garden / spade_beach,1,uhh real shovel,FP,PR,1452,check onset,,,,,,,
2,31,Training,Z_31_07.wav,key_gold / key_car,1,nmmm door key,FP,PR,1575,,,,,,,,
2,32,Training,Z_32_09.wav,door_handle / door_knob,1,long door handle,FL,PR,851,,,,,,,,
